email,name,role_id
kw13@selisegroup.com,Kinely Wangchuk,1
kc1@selisegroup.com,Khushant Chhetri,2
tna@selisegroup.com,Tek Nath,2
pd45@selisegroup.com,Pema Dorji,1
ts88@selisegroup.com,Tandin Sonam,2
kd23@selisegroup.com,Karma Dorji,1
yt99@selisegroup.com,Yonten Tobgay,2
pw56@selisegroup.com,Phub Wangmo,1
sg11@selisegroup.com,Sangay Gyeltshen,2
td78@selisegroup.com,Thinley Dema,1
jd09@selisegroup.com,Jigme Drukpa,2
kt33@selisegroup.com,Kezang Tshering,1
sw22@selisegroup.com,Sonam Wangmo,2
nw77@selisegroup.com,Namgay Wangchuk,1
